127.0.0.1, 2018-04-23 13:10:00, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.036383
127.0.0.1, 2018-04-23 13:10:00, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000757
127.0.0.1, 2018-04-23 13:10:00, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.115080
127.0.0.1, 2018-04-23 13:10:00, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.015977
127.0.0.1, 2018-04-23 13:10:00, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.024306
127.0.0.1, 2018-04-23 13:10:00, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.030433
127.0.0.1, 2018-04-23 13:10:00, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.011095
127.0.0.1, 2018-04-23 13:10:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000403
127.0.0.1, 2018-04-23 13:10:02, POST, /admin/default/index, HTTP/1.1, 303, 0.021553
127.0.0.1, 2018-04-23 13:10:02, GET, /admin/default/site, HTTP/1.1, 200, 0.052821
127.0.0.1, 2018-04-23 13:10:03, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.023233
127.0.0.1, 2018-04-23 13:10:03, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.002060
127.0.0.1, 2018-04-23 13:10:03, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002232
127.0.0.1, 2018-04-23 13:10:03, POST, /admin/default/check_version, HTTP/1.1, 200, 0.357180
127.0.0.1, 2018-04-23 13:10:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000387
127.0.0.1, 2018-04-23 13:10:07, GET, /start/default/index, HTTP/1.1, 200, 0.272832
127.0.0.1, 2018-04-23 13:10:07, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.003049
127.0.0.1, 2018-04-23 13:10:07, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.002094
127.0.0.1, 2018-04-23 13:10:07, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000645
127.0.0.1, 2018-04-23 13:10:07, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.026236
